time_step,changed_nodes,valid_nodes,transitional_nodes,non_compliant_nodes,unsafe_clusters,reconfigured,reconfiguration_count_step,reconfiguration_count_cumulative,moved_nodes,moved_nodes_cumulative,max_concentration_before,max_concentration_after,concentration_reduction_absolute,concentration_reduction_percent
20,7,25,21,54,10,1,1,20,84,1635,0.6666666666666666,0.5555555555555556,0.11111111111111105,16.666666666666657
21,6,21,20,59,10,1,1,21,90,1725,0.6363636363636364,0.6153846153846154,0.020979020979020935,3.29670329670329
22,3,21,17,62,10,1,1,22,67,1792,0.7,0.6666666666666666,0.033333333333333326,4.761904761904761
23,2,22,17,61,10,1,1,23,53,1845,0.6666666666666666,0.625,0.04166666666666663,6.249999999999995
24,6,20,18,62,10,1,1,24,83,1928,0.75,0.6666666666666666,0.08333333333333337,11.111111111111116
25,4,20,17,63,10,1,1,25,80,2008,0.7,0.6666666666666666,0.033333333333333326,4.761904761904761
26,5,18,16,66,10,1,1,26,94,2102,0.7777777777777778,0.7,0.07777777777777783,10.000000000000007
27,3,17,14,69,10,1,1,27,69,2171,0.8333333333333334,0.7142857142857143,0.11904761904761907,14.285714285714288
28,5,16,13,71,10,1,1,28,91,2262,0.8,0.7272727272727273,0.07272727272727275,9.090909090909093
29,4,16,11,73,10,1,1,29,81,2343,0.8571428571428571,0.75,0.1071428571428571,12.499999999999995
30,5,14,14,72,10,1,1,30,84,2427,0.8333333333333334,0.75,0.08333333333333337,10.000000000000004
31,3,16,12,72,10,1,1,31,90,2517,0.75,0.75,0.0,0.0
32,6,16,15,69,10,1,1,32,87,2604,0.75,0.7272727272727273,0.022727272727272707,3.0303030303030276
33,5,19,14,67,10,1,1,33,92,2696,0.7272727272727273,0.7,0.027272727272727337,3.750000000000009
34,7,21,12,67,10,1,1,34,83,2779,0.75,0.7,0.050000000000000044,6.666666666666672
35,5,23,8,69,10,1,1,35,74,2853,0.8,0.75,0.050000000000000044,6.250000000000005
36,5,25,9,66,10,1,1,36,79,2932,0.75,0.7142857142857143,0.0357142857142857,4.761904761904759
37,7,23,11,66,10,1,1,37,82,3014,0.8333333333333334,0.6666666666666666,0.16666666666666674,20.000000000000007
38,7,20,13,67,10,1,1,38,91,3105,0.7777777777777778,0.7,0.07777777777777783,10.000000000000007
39,6,24,11,65,10,1,1,39,90,3195,0.7,0.6666666666666666,0.033333333333333326,4.761904761904761
40,6,26,12,62,10,1,1,40,81,3276,0.6666666666666666,0.6363636363636364,0.030303030303030276,4.545454545454541
41,6,28,13,59,10,1,1,41,77,3353,0.7272727272727273,0.625,0.10227272727272729,14.062500000000004
42,5,27,14,59,10,1,1,42,70,3423,0.7,0.625,0.07499999999999996,10.714285714285708
43,4,26,13,61,10,1,1,43,92,3515,0.875,0.6363636363636364,0.23863636363636365,27.272727272727277
44,5,23,16,61,10,1,1,44,83,3598,0.6666666666666666,0.625,0.04166666666666663,6.249999999999995
45,5,23,13,64,10,1,1,45,77,3675,0.75,0.6666666666666666,0.08333333333333337,11.111111111111116
46,5,26,12,62,10,1,1,46,95,3770,0.6666666666666666,0.6363636363636364,0.030303030303030276,4.545454545454541
47,3,26,11,63,10,1,1,47,87,3857,0.7272727272727273,0.6363636363636364,0.09090909090909094,12.500000000000004
48,5,22,14,64,10,1,1,48,92,3949,0.8181818181818182,0.6666666666666666,0.1515151515151516,18.51851851851853
49,8,21,17,62,10,1,1,49,67,4016,0.7777777777777778,0.6666666666666666,0.11111111111111116,14.28571428571429
50,4,21,17,62,10,1,1,50,92,4108,0.7,0.6666666666666666,0.033333333333333326,4.761904761904761
51,6,19,19,62,10,1,1,51,77,4185,0.7,0.6666666666666666,0.033333333333333326,4.761904761904761
52,5,22,19,59,10,1,1,52,89,4274,0.7,0.625,0.07499999999999996,10.714285714285708
53,8,22,20,58,10,1,1,53,89,4363,0.75,0.6,0.15000000000000002,20.000000000000004
54,4,22,18,60,10,1,1,54,90,4453,0.6666666666666666,0.625,0.04166666666666663,6.249999999999995
55,3,24,16,60,10,1,1,55,85,4538,0.6666666666666666,0.625,0.04166666666666663,6.249999999999995
56,6,21,18,61,10,1,1,56,86,4624,0.75,0.6666666666666666,0.08333333333333337,11.111111111111116
57,7,19,16,65,10,1,1,57,90,4714,0.8,0.7,0.10000000000000009,12.50000000000001
58,4,21,16,63,10,1,1,58,89,4803,0.7272727272727273,0.6666666666666666,0.06060606060606066,8.333333333333341
