scenario,run,seed,method,clusters,non_compliant_total,clusters_with_non_compliant,max_non_compliant_concentration,mean_non_compliant_concentration,average_non_compliant_per_cluster,cluster_size_std,cluster_size_range,clustering_time_sec
S1_90_0_10,47,10046,Security-Aware,10,10,10,0.125,0.10088383838383838,1.0,0.9428090415820634,3,0.0005463749985210598
S1_90_0_10,48,10047,Baseline,10,10,7,0.2,0.09601010101010102,1.0,1.1547005383792515,3,0.0005076249944977462
S1_90_0_10,48,10047,Security-Aware,10,10,10,0.1111111111111111,0.10020202020202021,1.0,0.4714045207910317,2,0.0005435420025605708
S1_90_0_10,49,10048,Baseline,10,10,5,0.375,0.1067929292929293,1.0,1.0540925533894598,3,0.000393084017559886
S1_90_0_10,49,10048,Security-Aware,10,10,10,0.1111111111111111,0.1006060606060606,1.0,0.816496580927726,2,0.0005463749985210598
S1_90_0_10,50,10049,Baseline,10,10,6,0.3333333333333333,0.10262626262626262,1.0,0.816496580927726,2,0.0005092080100439489
S1_90_0_10,50,10049,Security-Aware,10,10,10,0.1111111111111111,0.10040404040404041,1.0,0.6666666666666666,2,0.0005444169801194221
S2_80_10_10,1,20000,Baseline,10,10,7,0.2,0.09727272727272727,1.0,0.6666666666666666,2,0.00040941699990071356
S2_80_10_10,1,20000,Security-Aware,10,10,10,0.1111111111111111,0.10040404040404041,1.0,0.6666666666666666,2,0.0005612499953713268
S2_80_10_10,2,20001,Baseline,10,10,8,0.2222222222222222,0.1006060606060606,1.0,0.6666666666666666,2,0.0005119999987073243
S2_80_10_10,2,20001,Security-Aware,10,10,10,0.1111111111111111,0.10040404040404041,1.0,0.6666666666666666,2,0.000566792004974559
S2_80_10_10,3,20002,Baseline,10,10,7,0.2,0.10020202020202021,1.0,0.9428090415820634,3,0.00037170801078900695
S2_80_10_10,3,20002,Security-Aware,10,10,10,0.1111111111111111,0.10040404040404041,1.0,0.6666666666666666,2,0.0005695419968105853
S2_80_10_10,4,20003,Baseline,10,10,6,0.3,0.09969696969696969,1.0,0.9428090415820634,2,0.008991708018584177
S2_80_10_10,4,20003,Security-Aware,10,10,10,0.125,0.10088383838383838,1.0,0.9428090415820634,3,0.0005697500018868595
S2_80_10_10,5,20004,Baseline,10,10,7,0.3,0.1004040404040404,1.0,0.9428090415820634,3,0.00037612501182593405
S2_80_10_10,5,20004,Security-Aware,10,10,10,0.1111111111111111,0.10095959595959596,1.0,1.0540925533894598,3,0.0005497920210473239
S2_80_10_10,6,20005,Baseline,10,10,7,0.2222222222222222,0.10151515151515152,1.0,0.6666666666666666,2,0.0005745420057792217
S2_80_10_10,6,20005,Security-Aware,10,10,10,0.1111111111111111,0.10040404040404041,1.0,0.6666666666666666,2,0.0005486669833771884
S2_80_10_10,7,20006,Baseline,10,10,6,0.3,0.09909090909090909,1.0,0.4714045207910317,2,0.0003816660027951002
S2_80_10_10,7,20006,Security-Aware,10,10,10,0.1111111111111111,0.10040404040404041,1.0,0.6666666666666666,2,0.0005395830085035414
S2_80_10_10,8,20007,Baseline,10,10,6,0.3,0.0994949494949495,1.0,0.816496580927726,2,0.0005691669939551502
S2_80_10_10,8,20007,Security-Aware,10,10,10,0.1111111111111111,0.10040404040404041,1.0,0.6666666666666666,2,0.0005441249813884497
S2_80_10_10,9,20008,Baseline,10,10,7,0.2222222222222222,0.10040404040404041,1.0,0.6666666666666666,2,0.00038399998447857797
S2_80_10_10,9,20008,Security-Aware,10,10,10,0.1111111111111111,0.1006060606060606,1.0,0.816496580927726,2,0.0005526669847313315
S2_80_10_10,10,20009,Baseline,10,10,8,0.2222222222222222,0.10055555555555556,1.0,0.816496580927726,3,0.0005683329945895821
S2_80_10_10,10,20009,Security-Aware,10,10,10,0.1111111111111111,0.10020202020202021,1.0,0.4714045207910317,2,0.000542583002243191
S2_80_10_10,11,20010,Baseline,10,10,8,0.3,0.10020202020202021,1.0,0.4714045207910317,2,0.00039166698115877807
S2_80_10_10,11,20010,Security-Aware,10,10,10,0.1111111111111111,0.10020202020202021,1.0,0.4714045207910317,2,0.0005614580004476011
S2_80_10_10,12,20011,Baseline,10,10,8,0.2222222222222222,0.1006060606060606,1.0,0.816496580927726,2,0.0005492499913088977
S2_80_10_10,12,20011,Security-Aware,10,10,10,0.1111111111111111,0.1006060606060606,1.0,0.816496580927726,2,0.0005500839906744659
S2_80_10_10,13,20012,Baseline,10,10,7,0.2727272727272727,0.09838383838383838,1.0,0.6666666666666666,2,0.0003741249965969473
S2_80_10_10,13,20012,Security-Aware,10,10,10,0.1111111111111111,0.10040404040404041,1.0,0.6666666666666666,2,0.0005438750085886568
S2_80_10_10,14,20013,Baseline,10,10,7,0.2,0.09595959595959597,1.0,0.9428090415820634,3,0.0005872909969184548
S2_80_10_10,14,20013,Security-Aware,10,10,10,0.1111111111111111,0.10020202020202021,1.0,0.4714045207910317,2,0.0005600829899776727
S2_80_10_10,15,20014,Baseline,10,10,7,0.3,0.09818181818181819,1.0,0.4714045207910317,2,0.0003835420066025108
S2_80_10_10,15,20014,Security-Aware,10,10,10,0.1111111111111111,0.10020202020202021,1.0,0.4714045207910317,2,0.0005534169904422015
S2_80_10_10,16,20015,Baseline,10,10,7,0.2222222222222222,0.09878787878787879,1.0,0.816496580927726,2,0.0005759169871453196
S2_80_10_10,16,20015,Security-Aware,10,10,10,0.1111111111111111,0.10040404040404041,1.0,0.6666666666666666,2,0.0005547500040847808
S2_80_10_10,17,20016,Baseline,10,10,6,0.3333333333333333,0.10484848484848484,1.0,0.9428090415820634,2,0.0003816249954979867
S2_80_10_10,17,20016,Security-Aware,10,10,10,0.1111111111111111,0.10075757575757575,1.0,0.9428090415820634,3,0.0005430000019259751
S2_80_10_10,18,20017,Baseline,10,10,6,0.3,0.09747474747474748,1.0,0.6666666666666666,2,0.0005377920169848949
S2_80_10_10,18,20017,Security-Aware,10,10,10,0.1111111111111111,0.10020202020202021,1.0,0.4714045207910317,2,0.000543333007954061
S2_80_10_10,19,20018,Baseline,10,10,7,0.2222222222222222,0.10242424242424243,1.0,0.816496580927726,2,0.0004124169936403632
S2_80_10_10,19,20018,Security-Aware,10,10,10,0.1111111111111111,0.10020202020202021,1.0,0.4714045207910317,2,0.0005499160033650696
S2_80_10_10,20,20019,Baseline,10,10,7,0.2,0.09909090909090909,1.0,0.4714045207910317,2,0.0005262909980956465
S2_80_10_10,20,20019,Security-Aware,10,10,10,0.125,0.10108585858585858,1.0,1.0540925533894598,3,0.0005306250241119415
S2_80_10_10,21,20020,Baseline,10,10,6,0.3333333333333333,0.10444444444444445,1.0,0.816496580927726,3,0.0003963750205002725
S2_80_10_10,21,20020,Security-Aware,10,10,10,0.1111111111111111,0.10055555555555556,1.0,0.816496580927726,3,0.0005752499855589122
S2_80_10_10,22,20021,Baseline,10,10,6,0.3,0.09944444444444445,1.0,0.816496580927726,3,0.0005977090040687472
S2_80_10_10,22,20021,Security-Aware,10,10,10,0.1111111111111111,0.10075757575757575,1.0,0.9428090415820634,3,0.0005459169915411621
S2_80_10_10,23,20022,Baseline,10,10,6,0.4444444444444444,0.10277777777777777,1.0,0.816496580927726,3,0.0003901250020135194
