w_nc,w_tr,run,seed,max_non_compliant_concentration,mean_non_compliant_concentration,cluster_size_std,cluster_size_range
1.0,2.0,9,15008,0.21428571428571427,0.0880952380952381,1.8856180831641267,6
1.0,2.0,10,15009,0.16666666666666666,0.09666666666666666,0.9428090415820634,4
1.0,2.0,11,15010,0.16666666666666666,0.09333333333333334,1.3333333333333333,4
1.0,2.0,12,15011,0.25,0.10166666666666667,1.0540925533894598,4
1.0,2.0,13,15012,0.16666666666666666,0.09666666666666666,0.9428090415820634,4
1.0,2.0,14,15013,0.16666666666666666,0.09333333333333334,1.3333333333333333,4
1.0,2.0,15,15014,0.16666666666666666,0.09,1.632993161855452,4
1.0,2.0,16,15015,0.16666666666666666,0.09333333333333334,1.3333333333333333,4
1.0,2.0,17,15016,0.16666666666666666,0.09333333333333334,1.3333333333333333,4
1.0,2.0,18,15017,0.16666666666666666,0.09333333333333334,1.3333333333333333,4
1.0,2.0,19,15018,0.21428571428571427,0.08476190476190476,2.1081851067789197,6
1.0,2.0,20,15019,0.16666666666666666,0.09666666666666666,0.9428090415820634,4
1.0,2.0,21,15020,0.16666666666666666,0.09666666666666666,0.9428090415820634,4
1.0,2.0,22,15021,0.16666666666666666,0.09666666666666666,0.9428090415820634,4
1.0,2.0,23,15022,0.21428571428571427,0.0880952380952381,1.8856180831641267,6
1.0,2.0,24,15023,0.16666666666666666,0.09666666666666666,0.9428090415820634,4
1.0,2.0,25,15024,0.16666666666666666,0.09,1.632993161855452,4
1.0,2.0,26,15025,0.16666666666666666,0.09666666666666666,0.9428090415820634,4
1.0,2.0,27,15026,0.16666666666666666,0.09333333333333334,1.3333333333333333,4
1.0,2.0,28,15027,0.16666666666666666,0.09,1.632993161855452,4
1.0,2.0,29,15028,0.16666666666666666,0.09333333333333334,1.3333333333333333,4
1.0,2.0,30,15029,0.16666666666666666,0.09333333333333334,1.3333333333333333,4
2.0,0.0,1,16000,0.1111111111111111,0.10075757575757575,0.9428090415820634,3
2.0,0.0,2,16001,0.125,0.10138888888888889,1.247219128924647,4
2.0,0.0,3,16002,0.1111111111111111,0.10020202020202021,0.4714045207910317,2
2.0,0.0,4,16003,0.1111111111111111,0.1006060606060606,0.816496580927726,2
2.0,0.0,5,16004,0.1111111111111111,0.10020202020202021,0.4714045207910317,2
2.0,0.0,6,16005,0.125,0.10123737373737374,1.1547005383792515,4
2.0,0.0,7,16006,0.1111111111111111,0.10040404040404041,0.6666666666666666,2
2.0,0.0,8,16007,0.125,0.10088383838383838,0.9428090415820634,3
2.0,0.0,9,16008,0.1111111111111111,0.1006060606060606,0.816496580927726,2
2.0,0.0,10,16009,0.125,0.10123737373737374,1.1547005383792515,4
2.0,0.0,11,16010,0.1111111111111111,0.10095959595959596,1.0540925533894598,3
2.0,0.0,12,16011,0.125,0.10103535353535353,1.0540925533894598,4
2.0,0.0,13,16012,0.125,0.10123737373737374,1.1547005383792515,4
2.0,0.0,14,16013,0.1111111111111111,0.10040404040404041,0.6666666666666666,2
2.0,0.0,15,16014,0.125,0.10159090909090909,1.3333333333333333,4
2.0,0.0,16,16015,0.1111111111111111,0.1006060606060606,0.816496580927726,2
2.0,0.0,17,16016,0.125,0.10138888888888889,1.247219128924647,4
2.0,0.0,18,16017,0.1111111111111111,0.10040404040404041,0.6666666666666666,2
2.0,0.0,19,16018,0.1111111111111111,0.10040404040404041,0.6666666666666666,2
2.0,0.0,20,16019,0.1111111111111111,0.1006060606060606,0.816496580927726,2
2.0,0.0,21,16020,0.1,0.1,0.0,0
2.0,0.0,22,16021,0.1111111111111111,0.10040404040404041,0.6666666666666666,2
2.0,0.0,23,16022,0.1111111111111111,0.10116161616161616,1.1547005383792515,3
2.0,0.0,24,16023,0.1111111111111111,0.10040404040404041,0.6666666666666666,2
2.0,0.0,25,16024,0.1111111111111111,0.10040404040404041,0.6666666666666666,2
