network_size,run,seed,clusters,baseline_max_concentration,security_max_concentration,absolute_difference,relative_reduction_percent,baseline_cluster_size_std,security_cluster_size_std,baseline_time_sec,security_time_sec
50,28,90027,8,0.3333333333333333,0.16666666666666666,0.16666666666666666,50.0,0.8864052604279183,1.2817398889233116,3.358299727551639e-05,0.00011929200263693929
50,29,90028,8,0.2857142857142857,0.16666666666666666,0.11904761904761904,41.66666666666667,0.4629100498862757,0.7071067811865476,3.579101758077741e-05,0.00011708299280144274
50,30,90029,8,0.3333333333333333,0.16666666666666666,0.16666666666666666,50.0,0.7071067811865476,1.0350983390135313,3.3249991247430444e-05,0.00011704201460815966
100,1,100000,10,0.3,0.1111111111111111,0.18888888888888888,62.96296296296296,0.6666666666666666,0.4714045207910317,7.804101915098727e-05,0.00027249997947365046
100,2,100001,10,0.36363636363636365,0.1111111111111111,0.25252525252525254,69.44444444444444,0.6666666666666666,0.4714045207910317,7.662500138394535e-05,0.0002710410044528544
100,3,100002,10,0.2,0.1111111111111111,0.0888888888888889,44.44444444444445,1.0540925533894598,0.4714045207910317,7.88329925853759e-05,0.0002709580003283918
100,4,100003,10,0.2222222222222222,0.1111111111111111,0.1111111111111111,50.0,1.0540925533894598,0.6666666666666666,7.616699440404773e-05,0.00026933400658890605
100,5,100004,10,0.3,0.1111111111111111,0.18888888888888888,62.96296296296296,0.4714045207910317,0.6666666666666666,9.91669949144125e-05,0.00028249999741092324
100,6,100005,10,0.25,0.1111111111111111,0.1388888888888889,55.55555555555556,0.9428090415820634,0.6666666666666666,7.683300646021962e-05,0.0003474160039331764
100,7,100006,10,0.3333333333333333,0.1111111111111111,0.2222222222222222,66.66666666666666,0.6666666666666666,0.6666666666666666,7.916698814369738e-05,0.0002712499990593642
100,8,100007,10,0.2222222222222222,0.1111111111111111,0.1111111111111111,50.0,0.9428090415820634,0.9428090415820634,7.566699059680104e-05,0.00027004198636859655
100,9,100008,10,0.3,0.1111111111111111,0.18888888888888888,62.96296296296296,0.6666666666666666,0.6666666666666666,7.708297926001251e-05,0.00027583399787545204
100,10,100009,10,0.375,0.1111111111111111,0.2638888888888889,70.37037037037037,1.0540925533894598,0.4714045207910317,7.591600297018886e-05,0.00027187500381842256
100,11,100010,10,0.3,0.1111111111111111,0.18888888888888888,62.96296296296296,1.247219128924647,0.816496580927726,7.624999852851033e-05,0.00027174997376278043
100,12,100011,10,0.3,0.1111111111111111,0.18888888888888888,62.96296296296296,0.9428090415820634,0.4714045207910317,8.562501170672476e-05,0.00027441701968200505
100,13,100012,10,0.25,0.1111111111111111,0.1388888888888889,55.55555555555556,0.9428090415820634,0.9428090415820634,7.554198964498937e-05,0.0002700839831959456
100,14,100013,10,0.4444444444444444,0.1111111111111111,0.3333333333333333,75.0,0.9428090415820634,0.4714045207910317,8.058399544097483e-05,0.00027208300889469683
